RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
1,Marc Gasol,C,34.37,24,30.6,63.8,13.6,9.5,46.0,0.87,91.0,0.462,89.0,0.382,0.517,0.564,9.4,6.4,11.5,3.0,14.7,0.88,1.08,0.88,7.4,118.4,97.2,2018-2019,Toronto Raptors
2,Danny Green,G-F,31.98,24,28.5,59.4,12.6,13.6,23.0,0.913,36.0,0.389,119.0,0.328,0.468,0.503,6.9,3.6,7.0,1.1,5.4,1.29,0.46,1.08,4.2,97.4,101.6,2018-2019,Toronto Raptors
3,Serge Ibaka,F-C,29.74,24,20.8,43.4,21.4,10.6,42.0,0.762,155.0,0.535,38.0,0.237,0.5,0.532,9.4,6.0,15.8,0.9,7.4,0.46,0.96,1.04,7.1,105.5,91.9,2018-2019,Toronto Raptors
4,Kawhi Leonard,F,27.96,24,39.1,81.6,32.0,11.1,216.0,0.884,351.0,0.536,145.0,0.379,0.545,0.619,30.5,9.1,12.8,3.9,19.3,1.67,0.71,3.08,10.5,118.9,102.7,2018-2019,Toronto Raptors
5,Kyle Lowry,G,33.22,24,37.5,78.2,18.4,14.5,81.0,0.802,133.0,0.526,145.0,0.359,0.532,0.576,15.0,4.9,7.2,6.6,27.5,1.29,0.29,2.21,8.4,116.8,100.1,2018-2019,Toronto Raptors
6,Pascal Siakam,F,25.2,24,37.1,77.4,23.0,7.3,87.0,0.759,279.0,0.541,104.0,0.279,0.508,0.54,19.0,7.1,10.5,2.8,12.9,1.04,0.71,1.38,7.8,110.2,102.7,2018-2019,Toronto Raptors
7,Fred VanVleet,G,25.3,24,24.7,51.4,15.3,10.5,31.0,0.774,68.0,0.397,98.0,0.388,0.506,0.534,8.0,1.8,3.9,2.6,15.7,0.75,0.25,0.88,5.4,110.0,104.4,2018-2019,Toronto Raptors
8,Norman Powell,F-G,26.06,23,15.9,33.2,18.1,8.2,19.0,0.737,64.0,0.5,62.0,0.387,0.54,0.558,6.5,2.2,7.7,1.1,11.4,0.39,0.0,0.52,6.3,110.0,102.5,2018-2019,Toronto Raptors
43,Jodie Meeks,G,31.81,14,4.8,9.9,22.7,9.0,3.0,0.667,16.0,0.438,13.0,0.154,0.345,0.363,1.6,0.6,7.5,0.1,2.3,0.29,0.07,0.21,3.8,69.4,97.8,2018-2019,Toronto Raptors
77,Malcolm Miller,F,26.27,10,2.8,5.8,17.5,9.3,4.0,0.75,2.0,0.5,6.0,0.167,0.313,0.41,0.8,0.5,9.9,0.1,5.1,0.0,0.1,0.1,4.9,,,2018-2019,Toronto Raptors
