,RANK,FULL NAME,POSITION,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,FRANCHISE,SALARY,SALARY.FORMATED
0,1,Kawhi Leonard,F,32.0,2,40.2,30.0,11.9,17,0.882,34,0.529,10,0.6,0.614,0.67,34.5,6.5,6.0,2.0,0.5,3.0,41.0,40.5,47.0,11.0,129.4,110.8,2022-2023,Los Angeles Clippers,42492492,"$42,492,492 "
1,17,Russell Westbrook,G,34.6,5,38.5,29.7,16.0,25,0.88,77,0.429,28,0.357,0.457,0.509,23.6,7.4,7.4,1.2,1.4,4.0,31.0,31.0,38.4,11.3,103.9,109.6,2022-2023,Los Angeles Clippers,47080179,"$47,080,179 "
2,25,Norman Powell,G,30.1,5,33.5,24.5,9.5,31,0.774,44,0.523,32,0.406,0.559,0.608,21.8,3.0,2.2,0.8,0.4,1.6,24.8,24.0,27.0,6.3,118.8,110.4,2022-2023,Los Angeles Clippers,16758621,"$16,758,621 "
3,68,Terance Mann,G-F,26.7,5,26.6,14.5,21.3,9,0.667,14,0.714,19,0.474,0.712,0.717,10.6,3.2,2.2,0.8,0.2,1.8,13.8,12.8,16.0,6.3,124.3,106.4,2022-2023,Los Angeles Clippers,1930681,"$1,930,681 "
4,73,Eric Gordon,G,34.5,5,29.8,14.3,8.3,6,0.833,15,0.533,29,0.345,0.523,0.547,10.2,1.4,2.6,0.6,0.4,0.8,11.6,12.8,14.2,4.5,113.5,113.0,2022-2023,Los Angeles Clippers,19568360,"$19,568,360 "
5,81,Ivica Zubac,C,26.2,5,26.0,15.6,26.6,16,0.75,30,0.567,0,0.0,0.567,0.621,9.2,9.6,0.6,0.6,0.2,2.2,18.8,9.8,19.4,5.8,112.3,109.1,2022-2023,Los Angeles Clippers,10123457,"$10,123,457 "
6,87,Bones Hyland,G,22.7,5,16.5,26.8,8.3,10,0.8,24,0.417,20,0.25,0.398,0.444,8.6,0.8,0.8,0.8,0.2,0.8,9.4,9.4,10.2,4.3,90.4,108.2,2022-2023,Los Angeles Clippers,2201520,"$2,201,520 "
7,92,Mason Plumlee,F-C,33.3,5,18.2,11.6,15.5,14,0.929,16,0.875,0,0.0,0.875,0.925,8.2,6.8,1.8,0.4,0.4,0.6,15.0,10.0,16.8,10.2,183.7,99.2,2022-2023,Los Angeles Clippers,9080417,"$9,080,417 "
8,129,Nicolas Batum,G-F,34.5,5,18.3,9.6,9.5,0,0.0,2,1.0,17,0.353,0.579,0.579,4.4,2.2,1.2,0.4,0.4,0.4,6.6,5.6,7.8,5.0,116.9,107.8,2022-2023,Los Angeles Clippers,19700319,"$19,700,319 "
9,200,Amir Coffey,G-F,26.0,1,1.0,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2022-2023,Los Angeles Clippers,3395062,"$3,395,062 "
10,201,Robert Covington,F,32.5,2,6.0,10.5,0.0,0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,2.0,0.0,42.7,101.1,2022-2023,Los Angeles Clippers,12307692,"$12,307,692 "
