FRANCHISE,POSITION,INDEX,SALARY
Atlanta Hawks,C,1,18206896
Atlanta Hawks,F,2,5751720
Atlanta Hawks,F-C,3,29895160
Atlanta Hawks,F-G,4,9835881
Atlanta Hawks,G,5,74135795
Boston Celtics,C-F,6,26500000
Boston Celtics,F,7,8850098
Boston Celtics,F-C,8,5633278
Boston Celtics,F-G,9,30351780
Boston Celtics,G,10,59189199
Boston Celtics,G-F,11,30630026
Cleveland Cavaliers,C,12,31384571
Cleveland Cavaliers,F,13,9208709
Cleveland Cavaliers,F-C,14,1930681
Cleveland Cavaliers,F-G,15,7040880
Cleveland Cavaliers,G,16,78658517
Denver Nuggets,C,17,43781561
Denver Nuggets,C-F,18,1968175
Denver Nuggets,F,19,26425268
Denver Nuggets,F-C,20,2617800
Denver Nuggets,G,21,62115080
Denver Nuggets,G-F,22,6479000
Los Angeles Clippers,C,23,10123457
Los Angeles Clippers,F,24,54800184
Los Angeles Clippers,F-C,25,9080417
Los Angeles Clippers,G,26,87172198
Los Angeles Clippers,G-F,27,25026062
Los Angeles Lakers,C,28,10300000
Los Angeles Lakers,C-F,29,16700
Los Angeles Lakers,F,30,56990896
Los Angeles Lakers,F-C,31,37980720
Los Angeles Lakers,G,32,49651946
Memphis Grizzlies,F,33,8962941
Memphis Grizzlies,G,34,45295135
Memphis Grizzlies,G-F,35,11400000
Miami Heat,C,36,1752638
Miami Heat,C-F,37,30351780
Miami Heat,F,38,67932709
Miami Heat,F-C,39,31300890
Miami Heat,G,40,44621127
Miami Heat,G-F,41,1815677
Milwaukee Bucks,C,42,13906976
Milwaukee Bucks,F,43,105867838
Milwaukee Bucks,F-C,44,713558
Milwaukee Bucks,F-G,45,6479000
Milwaukee Bucks,G,46,61427526
Minnesota Timberwolves,C,47,38172414
Minnesota Timberwolves,C-F,48,33833400
Minnesota Timberwolves,F,49,8312781
Minnesota Timberwolves,F-C,50,1836090
Minnesota Timberwolves,F-G,51,8780488
Minnesota Timberwolves,G,52,45419565
New York Knicks,C-F,53,25900333
New York Knicks,F,54,5348280
New York Knicks,F-C,55,23760000
New York Knicks,F-G,56,10900634
New York Knicks,G,57,61370820
New York Knicks,G-F,58,799403
Philadelphia 76ers,C,59,8283688
Philadelphia 76ers,C-F,60,33616770
Philadelphia 76ers,F,61,42880671
Philadelphia 76ers,F-C,62,4394171
Philadelphia 76ers,G,63,46102080
Philadelphia 76ers,G-F,64,6997718
Sacramento Kings,C,65,3918600
Sacramento Kings,F,66,30623679
Sacramento Kings,F-C,67,23010860
Sacramento Kings,G,68,48657599
Sacramento Kings,G-F,69,15293583
